Model,Accuracy,Precision,Recall,F1 Score
CNN,0.8439,0.8911,0.7835,0.8339
CNN,0.8439,0.8911,0.7835,0.8339
CNN,0.8439,0.8911,0.7835,0.8339
CNN,0.8439,0.8911,0.7835,0.8339
